fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
397316,2014-02-02T01:00:59.926237,56690.04236026,280304,200.00000000,0.629331912436722,-0.10870010283312391,z,23
397316,2014-02-02T01:04:48.651264,56690.04500754,280305,200.00000000,0.6293320855430069,-0.10869973193133717,z,23
397316,2014-02-09T01:34:25.831664,56697.06557676,283360,175.00000000,0.6299328001017821,-0.10767972660642552,g,23
397316,2014-02-09T01:37:49.736510,56697.06793677,283361,150.00000000,0.6299330490897523,-0.10767937238065967,r,23
397316,2014-02-09T01:40:47.962258,56697.06999956,283362,200.00000000,0.6299332667465793,-0.10767906275913924,i,23
397316,2014-02-09T01:44:38.081275,56697.07266298,283363,200.00000000,0.6299335478129435,-0.10767866297842518,z,23
397316,2014-02-09T01:48:29.269922,56697.07533877,283364,200.00000000,0.6299338302257961,-0.1076782613304325,z,23
400305,2013-08-30T04:53:29.880200,56534.20381806,228740,175.00000000,0.6026328139341997,-0.09218249008355169,g,48
400305,2013-08-30T04:56:52.172361,56534.20615940,228741,150.00000000,0.6026324712372861,-0.09218285948512353,r,48
400305,2013-08-30T04:59:49.597218,56534.20821293,228742,200.00000000,0.602632170639731,-0.09218318348099912,i,48
400305,2013-08-30T05:03:39.156969,56534.21086987,228743,200.00000000,0.6026317816757177,-0.09218360268601944,z,48
400305,2013-08-30T05:07:29.629747,56534.21353738,228744,200.00000000,0.6026313911212868,-0.09218402356459787,z,48
400305,2013-09-03T09:10:37.762182,56538.38238151,230185,175.00000000,0.6019684976159525,-0.09284876001713298,g,48
400305,2013-09-03T09:14:02.044276,56538.38474588,230186,150.00000000,0.601968092231944,-0.09284914058768211,r,48
400305,2013-09-03T09:16:59.805209,56538.38680330,230187,200.00000000,0.6019677394506082,-0.09284947175313217,i,48
400305,2013-09-03T09:20:48.479695,56538.38945000,230188,200.00000000,0.6019672855904475,-0.09284989777361763,z,48
400305,2013-09-03T09:24:38.303509,56538.39210999,230189,200.00000000,0.6019668294076153,-0.0928503259398219,z,48
400305,2013-09-08T07:46:51.604110,56543.32420838,231599,175.00000000,0.601050642351007,-0.0936508092367506,g,47
400305,2013-09-08T07:50:15.940723,56543.32657339,231600,150.00000000,0.601050169962455,-0.0936511956498395,r,47
400305,2013-09-08T07:53:14.185659,56543.32863641,231601,200.00000000,0.6010497578677172,-0.09365153272351372,i,47
400305,2013-09-08T07:57:05.523963,56543.33131393,231602,200.00000000,0.6010492229881733,-0.09365197020261389,z,47
400305,2013-09-08T08:00:56.762847,56543.33399031,231603,200.00000000,0.6010486882987709,-0.09365240749612883,z,47
400305,2013-09-12T05:05:56.073710,56547.21245456,233150,175.00000000,0.6002328960902189,-0.09428805177491584,g,47
400305,2013-09-12T05:09:20.981114,56547.21482617,233151,150.00000000,0.6002323727037006,-0.09428844128023427,r,47
400305,2013-09-12T05:12:19.538669,56547.21689281,233152,200.00000000,0.6002319165975558,-0.0942887806979877,i,47
400305,2013-09-12T05:16:10.268528,56547.21956329,233153,200.00000000,0.6002313271898045,-0.09428921929002954,z,47
400305,2013-09-12T05:19:59.564970,56547.22221719,233154,200.00000000,0.6002307414068642,-0.09428965515800282,z,47
400305,2013-09-16T07:02:07.652383,56551.29314413,234901,175.00000000,0.599289833812488,-0.0949584099245979,g,53
400305,2013-09-16T07:05:32.706306,56551.29551743,234902,150.00000000,0.5992892611440943,-0.0949587995141638,r,53
400305,2013-09-16T07:08:32.154474,56551.29759438,234903,200.00000000,0.5992887599641397,-0.09495914045377393,i,53
400305,2013-09-16T07:12:21.188379,56551.30024524,234904,200.00000000,0.5992881202658447,-0.09495957560213977,z,53
400305,2013-09-16T07:16:10.730606,56551.30290197,234905,200.00000000,0.5992874791134072,-0.0949600117153149,z,53
400305,2013-09-21T05:51:45.290165,56556.24427419,236850,90.00000000,0.5980370638649617,-0.09576836533382513,Y,52
400305,2013-09-21T05:53:43.650056,56556.24564410,236851,90.00000000,0.5980367016191578,-0.09576858835180804,Y,52
400305,2013-09-21T05:55:43.209156,56556.24702788,236852,90.00000000,0.5980363356946049,-0.09576881362859822,Y,52
400305,2013-09-21T05:57:42.168348,56556.24840473,236853,90.00000000,0.5980359715976509,-0.09576903777424288,Y,52
400305,2013-09-21T05:59:41.731576,56556.24978856,236854,90.00000000,0.5980356056433914,-0.09576926305723692,Y,52
400305,2013-09-21T06:01:41.020138,56556.25116921,236855,90.00000000,0.5980352405212936,-0.0957694878219136,Y,52
400305,2013-09-21T06:03:42.129843,56556.25257095,236856,90.00000000,0.5980348698162732,-0.09576971601719973,Y,52
400305,2013-09-21T06:05:41.109713,56556.25394803,236857,90.00000000,0.5980345056219231,-0.09576994019865526,Y,52
400305,2013-09-21T06:07:39.790781,56556.25532165,236858,90.00000000,0.5980341423337572,-0.09577016381632934,Y,52
400305,2013-09-21T06:09:38.033821,56556.25669021,236859,90.00000000,0.5980337803780309,-0.09577038660790232,Y,52
