expnum,date,ra,dec,exptime,band,tag,object
369882,2014/10/21 06:39:08,1:56:33.59,3:39:28.2,90.0,g,None,DES survey hex 291+37 tiling 1
369883,2014/10/21 06:41:09,2:06:17.34,4:07:52.9,90.0,r,None,DES survey hex 323+37 tiling 2
369884,2014/10/21 06:43:07,2:07:02.38,4:51:30.3,90.0,i,None,DES survey hex 323+57 tiling 3
369885,2014/10/21 06:45:05,2:00:42.73,3:50:37.7,90.0,i,None,DES survey hex 307+47 tiling 3
369886,2014/10/21 06:47:05,1:56:39.70,1:37:44.1,90.0,r,None,DES survey hex 292+16 tiling 1
369887,2014/10/21 06:49:03,1:56:39.70,1:37:44.4,90.0,i,None,DES survey hex 292+16 tiling 1
369888,2014/10/21 06:51:09,1:40:53.25,-1:57:20.2,90.0,r,None,DES survey hex 260-24 tiling 2
369889,2014/10/21 06:53:17,1:50:18.96,-1:24:52.2,90.0,r,None,DES survey hex 276-14 tiling 1
369890,2014/10/21 06:55:15,1:50:18.95,-1:24:52.2,90.0,i,None,DES survey hex 276-14 tiling 1
369891,2014/10/21 06:57:14,1:56:40.93,-0:24:01.4,90.0,r,None,DES survey hex 292-4 tiling 1
369892,2014/10/21 06:59:16,2:07:16.57,0:48:02.5,90.0,r,None,DES survey hex 324+16 tiling 3
369893,2014/10/21 07:01:17,2:09:26.79,1:37:46.1,90.0,i,None,DES survey hex 324+16 tiling 1
369894,2014/10/21 07:03:26,2:22:09.98,3:39:26.7,90.0,g,None,DES survey hex 355+37 tiling 1
369895,2014/10/21 07:05:26,2:26:21.22,3:50:38.3,90.0,r,None,DES survey hex 371+47 tiling 3
369896,2014/10/21 07:07:23,2:28:31.83,4:40:20.7,90.0,i,None,DES survey hex 371+47 tiling 1
369897,2014/10/21 07:09:39,2:54:10.29,4:40:20.4,90.0,r,None,DES survey hex 435+47 tiling 1
369898,2014/10/21 07:11:38,2:44:42.10,4:07:52.4,90.0,g,None,DES survey hex 419+37 tiling 2
369899,2014/10/21 07:13:38,2:34:58.32,3:39:28.2,90.0,g,None,DES survey hex 387+37 tiling 1
369900,2014/10/21 07:15:37,2:34:58.32,3:39:28.4,90.0,r,None,DES survey hex 387+37 tiling 1
369901,2014/10/21 07:17:34,2:28:35.98,2:38:36.0,90.0,g,None,DES survey hex 371+26 tiling 1
369902,2014/10/21 07:19:36,2:38:19.22,3:07:00.7,90.0,i,None,DES survey hex 403+26 tiling 2
369903,2014/10/21 07:21:46,2:54:11.01,2:38:35.9,90.0,r,None,DES survey hex 435+26 tiling 1
369904,2014/10/21 07:23:56,2:35:00.68,1:37:44.1,90.0,r,None,DES survey hex 388+16 tiling 1
369905,2014/10/21 07:25:55,2:26:27.50,-0:12:50.6,90.0,r,None,DES survey hex 372+6 tiling 3
369906,2014/10/21 07:27:54,2:31:57.20,0:04:24.5,90.0,g,None,DES survey hex 388-4 tiling 2
369907,2014/10/21 07:29:56,2:25:33.35,-0:56:28.0,90.0,g,None,DES survey hex 372-14 tiling 2
369908,2014/10/21 07:31:57,2:35:01.21,-0:23:59.8,90.0,i,None,DES survey hex 388-4 tiling 1
369909,2014/10/21 07:33:56,2:39:14.21,-0:12:50.2,90.0,r,None,DES survey hex 404+6 tiling 3
369910,2014/10/21 07:35:54,2:32:50.84,-1:13:42.9,90.0,r,None,DES survey hex 388-4 tiling 3
369911,2014/10/21 07:37:56,2:26:26.92,-2:14:34.9,90.0,i,None,DES survey hex 372-14 tiling 3
369912,2014/10/21 07:39:56,2:28:34.62,-3:26:36.1,90.0,g,None,DES survey hex 371-34 tiling 1
369913,2014/10/21 07:41:55,2:25:24.86,-4:59:56.5,90.0,r,None,DES survey hex 371-55 tiling 2
369914,2014/10/21 07:43:53,2:25:24.84,-4:59:56.3,90.0,i,None,DES survey hex 371-55 tiling 2
369915,2014/10/21 07:45:55,2:34:56.92,-4:27:28.2,90.0,r,None,DES survey hex 387-45 tiling 1
369916,2014/10/21 07:47:58,2:44:41.43,-3:59:04.0,90.0,g,None,DES survey hex 419-45 tiling 2
369917,2014/10/21 07:49:56,2:41:22.70,-3:26:36.6,90.0,r,None,DES survey hex 403-34 tiling 1
369918,2014/10/21 07:52:04,2:25:16.78,-7:01:40.9,90.0,g,None,DES survey hex 371-75 tiling 2
369919,2014/10/21 07:54:03,2:32:40.59,-7:18:55.6,90.0,i,None,DES survey hex 387-65 tiling 3
369920,2014/10/21 07:56:06,2:38:10.08,-7:01:40.5,90.0,g,None,DES survey hex 403-75 tiling 2
369921,2014/10/21 07:58:04,2:38:10.08,-7:01:40.7,90.0,r,None,DES survey hex 403-75 tiling 2
369922,2014/10/21 08:00:06,2:31:39.40,-8:02:32.7,90.0,g,None,DES survey hex 387-85 tiling 2
369923,2014/10/21 08:02:04,2:31:39.40,-8:02:32.5,90.0,r,None,DES survey hex 387-85 tiling 2
369924,2014/10/21 08:04:04,2:39:03.76,-8:19:47.8,90.0,i,None,DES survey hex 403-75 tiling 3
369925,2014/10/21 08:06:02,2:38:03.53,-9:03:25.0,90.0,r,None,DES survey hex 403-95 tiling 2
369926,2014/10/21 08:08:00,2:41:09.84,-9:31:49.4,90.0,g,None,DES survey hex 403-95 tiling 1
369927,2014/10/21 08:09:58,2:38:57.36,-10:21:31.8,90.0,i,None,DES survey hex 403-95 tiling 3
369928,2014/10/21 08:11:57,2:44:29.54,-10:04:16.8,90.0,r,None,DES survey hex 419-105 tiling 2
369929,2014/10/21 08:13:57,2:45:28.38,-9:20:39.7,90.0,i,None,DES survey hex 419-85 tiling 3
369930,2014/10/21 08:15:56,2:47:40.42,-8:30:57.1,90.0,g,None,DES survey hex 419-85 tiling 1
369931,2014/10/21 08:17:54,2:51:57.06,-8:19:47.5,90.0,r,None,DES survey hex 435-75 tiling 3
369932,2014/10/21 08:19:54,2:54:08.80,-7:30:05.0,90.0,g,None,DES survey hex 435-75 tiling 1
369933,2014/10/21 08:21:53,2:54:08.79,-7:30:05.0,90.0,i,None,DES survey hex 435-75 tiling 1
369934,2014/10/21 08:23:56,2:54:07.28,-9:31:49.1,90.0,g,None,DES survey hex 435-95 tiling 1
369935,2014/10/21 08:25:54,2:58:23.58,-9:20:39.3,90.0,r,None,DES survey hex 451-85 tiling 3
369936,2014/10/21 08:27:53,2:58:23.57,-9:20:39.4,90.0,i,None,DES survey hex 451-85 tiling 3
369937,2014/10/21 08:29:50,2:50:57.84,-11:05:09.4,90.0,r,None,DES survey hex 435-116 tiling 2
369938,2014/10/21 08:31:56,3:00:36.26,-10:32:41.2,90.0,g,None,DES survey hex 452-105 tiling 1
369939,2014/10/21 08:33:54,3:04:52.16,-10:21:31.5,90.0,r,None,DES survey hex 468-95 tiling 3
369940,2014/10/21 08:35:52,3:04:52.14,-10:21:31.6,90.0,i,None,DES survey hex 468-95 tiling 3
369941,2014/10/21 08:37:51,2:58:23.39,-11:22:24.1,90.0,i,None,DES survey hex 452-105 tiling 3
369942,2014/10/21 08:39:49,3:04:00.40,-11:05:08.7,90.0,z,None,DES survey hex 468-116 tiling 2
369943,2014/10/21 08:41:48,3:10:29.05,-10:04:18.8,90.0,z,None,DES survey hex 484-105 tiling 2
369944,2014/10/21 08:43:46,3:13:36.17,-10:32:41.1,90.0,i,None,DES survey hex 484-105 tiling 1
369945,2014/10/21 08:45:46,3:10:34.30,-12:06:01.3,90.0,z,None,DES survey hex 484-126 tiling 2
369946,2014/10/21 08:47:46,3:13:42.50,-12:34:25.9,90.0,i,None,DES survey hex 484-126 tiling 1
369947,2014/10/21 08:49:45,3:17:02.93,-11:05:09.2,90.0,z,None,DES survey hex 500-116 tiling 2
369948,2014/10/21 08:51:46,3:20:10.44,-11:33:33.9,90.0,i,None,DES survey hex 500-116 tiling 1
370108,2014/10/22 00:06:38,21:33:47.92,-40:30:20.9,90.0,i,None,DES survey hex -355-410 tiling 2
370110,2014/10/22 00:10:45,21:41:07.84,-64:32:56.4,90.0,z,None,DES survey hex -348-653 tiling 4
370111,2014/10/22 00:12:46,21:31:05.26,-64:07:34.4,90.0,r,None,DES survey hex -360-633 tiling 3
